# bar, K, cm
PRESS,TEMP,ALT
0.9721,298.7,25000.0
0.919,296.8,75000.0
0.8685,294.8,125000.0
0.8205,292.9,175000.0
0.7749,290.8,225000.0
0.7315,288.8,275000.0
0.6902,286.7,325000.0
0.651,284.6,375000.0
0.6138,282.3,425000.0
0.5784,280.1,475000.0
0.5448,277.8,525000.0
0.5129,275.4,575000.0
0.4826,272.9,625000.0
0.4539,270.6,675000.0
0.4266,268.2,725000.0
0.4008,265.7,775000.0
0.3763,263.0,825000.0
0.3531,260.2,875000.0
0.331,257.2,925000.0
0.3101,254.0,975000.0
0.2903,250.6,1025000.0
0.2715,247.0,1075000.0
0.2537,243.2,1125000.0
0.2367,239.1,1175000.0
0.2207,234.8,1225000.0
0.2054,230.4,1275000.0
0.191,225.9,1325000.0
0.1773,221.3,1375000.0
0.1643,216.6,1425000.0
0.1521,214.2,1475000.0
0.1407,213.2,1525000.0
0.1301,212.3,1575000.0
0.1203,211.7,1625000.0
0.1112,211.1,1675000.0
0.1028,210.6,1725000.0
0.09494,210.0,1775000.0
0.08771,209.5,1825000.0
0.08101,208.9,1875000.0
0.07481,208.4,1925000.0
0.06907,207.9,1975000.0
0.06375,207.4,2025000.0
0.05884,206.9,2075000.0
0.0543,206.4,2125000.0
0.05009,205.9,2175000.0
0.04621,205.5,2225000.0
0.04262,205.0,2275000.0
0.0393,204.6,2325000.0
0.03624,204.2,2375000.0
0.0334,203.7,2425000.0
0.03079,203.4,2475000.0
0.02838,203.0,2525000.0
0.02615,202.6,2575000.0
0.02409,202.2,2625000.0
0.02219,201.9,2675000.0
0.02044,201.5,2725000.0
0.01883,201.2,2775000.0
0.01734,200.9,2825000.0
0.01596,200.6,2875000.0
0.0147,200.3,2925000.0
0.01353,200.1,2975000.0
0.01246,199.8,3025000.0
0.01146,199.6,3075000.0
0.01055,199.3,3125000.0
0.00971,199.1,3175000.0
0.008935,198.9,3225000.0
0.008221,198.6,3275000.0
0.007564,198.4,3325000.0
0.006958,198.2,3375000.0
0.006401,197.9,3425000.0
0.005887,197.7,3475000.0
0.005415,197.4,3525000.0
0.00498,197.2,3575000.0
0.004579,196.9,3625000.0
0.00421,196.6,3675000.0
0.00387,196.3,3725000.0
0.003558,195.9,3775000.0
0.00327,195.5,3825000.0
0.003004,195.1,3875000.0
0.00276,194.5,3925000.0
0.002535,193.9,3975000.0
0.002328,193.2,4025000.0
0.002137,192.5,4075000.0
0.001961,191.6,4125000.0
0.001799,190.7,4175000.0
0.001649,189.7,4225000.0
0.001512,188.6,4275000.0
0.001385,187.4,4325000.0
0.001268,186.2,4375000.0
0.00116,184.9,4425000.0
0.001061,183.5,4475000.0
0.0009691,182.1,4525000.0
0.0008849,180.6,4575000.0
0.0008074,179.1,4625000.0
0.0007362,177.6,4675000.0
0.0006707,176.1,4725000.0
0.0006106,174.5,4775000.0
0.0005553,172.9,4825000.0
0.0005047,171.3,4875000.0
0.0004582,169.7,4925000.0
0.0004157,168.1,4975000.0
0.0003767,166.5,5025000.0
0.0003411,164.9,5075000.0
0.0003086,163.3,5125000.0
0.0002789,161.7,5175000.0
0.0002518,160.1,5225000.0
0.0002271,158.5,5275000.0
0.0002046,156.9,5325000.0
0.0001841,155.4,5375000.0
0.0001656,153.9,5425000.0
0.0001487,152.3,5475000.0
0.0001334,150.9,5525000.0
0.0001196,149.4,5575000.0
0.0001071,148.0,5625000.0
9.579e-05,146.6,5675000.0
8.559e-05,145.2,5725000.0
7.64e-05,143.8,5775000.0
6.812e-05,142.4,5825000.0
6.067e-05,141.0,5875000.0
5.397e-05,139.6,5925000.0
4.796e-05,138.2,5975000.0
4.256e-05,136.7,6025000.0
3.773e-05,135.2,6075000.0
3.339e-05,133.6,6125000.0
2.951e-05,132.0,6175000.0
2.605e-05,130.3,6225000.0
2.295e-05,128.5,6275000.0
2.018e-05,126.5,6325000.0
1.771e-05,124.5,6375000.0
1.551e-05,122.3,6425000.0
1.354e-05,120.0,6475000.0
1.18e-05,117.5,6525000.0
1.025e-05,114.8,6575000.0
8.87e-06,112.0,6625000.0
7.648e-06,108.9,6675000.0
6.564e-06,105.4,6725000.0
5.605e-06,101.7,6775000.0
4.757e-06,97.8,6825000.0
4.01e-06,93.77,6875000.0
3.354e-06,89.44,6925000.0
2.779e-06,84.48,6975000.0
2.275e-06,78.88,7025000.0
